
SamAccountName       PasswordNeverExpires PasswordLastSet    
406C8F1C27EB                         True 13/10/2015 12:18:40
406C8F1049E9                         True 13/10/2015 12:18:40
406C8F1C4672                         True 13/10/2015 12:18:40
406C8F1A14C8                         True 13/10/2015 12:18:40
406C8F1A0FCA                         True 13/10/2015 12:18:40
406C8F0FE9D9                         True 13/10/2015 12:18:41
406C8F104AF1                         True 13/10/2015 12:18:41
406C8F0D87FC                         True 13/10/2015 12:18:41
406C8F078C8C                         True 13/10/2015 12:18:41
406C8F10496E                         True 13/10/2015 12:18:41
406C8F1A13C5                         True 13/10/2015 12:18:41
406C8F0F8950                         True 13/10/2015 12:18:41
406C8F0FEAEE                         True 13/10/2015 12:18:42
406C8f1C8E6A                         True 13/10/2015 12:18:42
406C8F1A151C                         True 13/10/2015 12:18:42
servicepa                            True 05/08/2018 11:46:25
test-finance                         True 02/08/2013 14:58:05
Nasservice                           True 22/05/2018 14:22:19
00C0EEA70D6C                         True 08/08/2013 11:29:03
00C0EEA707BF                         True 08/08/2013 11:28:49
00C0EEA70518                         True 08/08/2013 11:28:19
00C0EEA70595                         True 08/08/2013 12:27:12
00C0EEA6F623                         True 08/08/2013 11:27:38
00C0EEA70619                         True 08/08/2013 11:28:04
00C0EEA70C53                         True 08/08/2013 11:27:16
00C0EEA6FF39                         True 08/08/2013 11:25:50
00C0EEA6FF34                         True 08/08/2013 11:26:50
00C0EE9ADBE9                         True 08/08/2013 11:27:48
00C0EE8CE603                         True 08/08/2013 11:25:58
00C0EE9ADC11                         True 08/08/2013 11:26:07
00C0EE8D6A74                         True 08/08/2013 11:26:15
00C0EE9A926A                         True 08/08/2013 11:26:31
00C0EE8CFE87                         True 08/08/2013 11:25:16
00C0EE9ADBD7                         True 08/08/2013 11:28:56
00C0EE8CEE96                         True 08/08/2013 11:26:58
00C0EE9ADBD9                         True 08/08/2013 11:27:05
00C0EE8CFED7                         True 08/08/2013 11:27:56
0018F30FF1EF                         True 13/10/2015 12:19:17
001BFC6F5C63                         True 13/10/2015 12:19:18
001bfc6f5c9b                         True 13/10/2015 12:18:38
001d73ffc985                         True 13/10/2015 12:18:42
001D73FFC986                         True 13/10/2015 12:18:42
taf                                  True 03/02/2017 10:57:44
sam                                  True 02/08/2016 21:48:03
parentsevening                       True 13/08/2013 09:54:23
Resources                            True 13/08/2013 10:00:42
General                              True 16/04/2018 08:05:31
Finance                              True 09/10/2013 10:19:57
Exams                                True 13/08/2013 10:02:24
Competition                          True 13/08/2013 10:03:07
Careers                              True 21/08/2017 09:59:03
Attendance                           True 22/03/2016 12:23:37
001bfc6f5c8c                         True 13/10/2015 12:18:54
serviceprinters                      True 14/08/2013 11:17:41
testadmin                            True 13/09/2018 11:00:30
0024a525b446                         True 13/10/2015 12:18:38
0024a525b447                         True 13/10/2015 12:18:39
001A92D776EE                         True 13/10/2015 12:18:47
webmaster                            True 11/04/2014 13:44:08
helpdesk                             True 12/07/2018 13:22:39
000da201dea6                         True 13/10/2015 12:18:44
13potlew                             True 17/11/2016 09:21:02
librarian                            True 23/09/2013 11:04:57
00265E145B74                         True 13/10/2015 12:19:17
rcw.staff                            True 13/10/2017 11:31:41
axh                                  True 21/10/2013 12:03:24
Webprint                             True 07/04/2014 14:10:38
001708477703                         True 13/10/2015 12:18:43
00e0b894aba6                         True 13/10/2015 12:18:45
HOMEAP                               True 04/12/2013 14:13:47
climate                              True 03/02/2014 12:06:40
SophosPureMessage                    True 12/03/2015 11:45:30
SQL.ADMIN                            True 28/11/2017 08:30:24
SQL.SVC                              True 28/11/2017 08:32:39
E8039A311B2F                         True 13/10/2015 12:19:04
7CC3A1ACCF6B                         True 13/10/2015 12:19:14
oliver                               True 14/03/2014 13:15:00
sccm-sql-admin                       True 01/04/2014 11:49:14
001c84106ccb                         True 13/10/2015 12:19:24
hapv10                               True 25/04/2014 09:31:09
booking                              True 07/05/2014 09:26:09
exam1                                True 28/09/2017 09:06:42
exam2                                True 28/09/2017 09:06:54
Template                             True 21/05/2014 09:44:40
prtgservice                          True 02/06/2014 11:20:49
AC182620d080                         True 13/10/2015 12:18:49
Digitalsig                           True 17/06/2014 11:52:24
d02788bb9772                         True 13/10/2015 12:19:05
9cb70d89e0ff                         True 13/10/2015 12:19:07
callum.browne                        True 15/06/2017 14:45:35
ellis.turtell                        True 15/06/2017 14:47:32
14SmiAnn                             True 11/09/2014 14:07:44
14PreTre                             True 14/06/2017 14:53:01
test14                               True 05/03/2018 09:46:30
6045bdfa0f38                         True 13/10/2015 12:19:14
sophosmanagement1                    True 16/03/2018 12:03:18
sophosupdate                         True 15/07/2014 12:11:52
sw                                   True 24/10/2018 09:50:51
94DE80FB5DF8                         True 13/10/2015 12:19:00
94DE80FC8FDE                         True 13/10/2015 12:19:00
94DE80FB5DAD                         True 13/10/2015 12:19:01
94DE80FB5B34                         True 13/10/2015 12:19:01
94DE80FB5C90                         True 13/10/2015 12:19:01
94DE80FB566F                         True 13/10/2015 12:19:01
94DE80FB5E85                         True 13/10/2015 12:19:01
94DE80FB5C81                         True 13/10/2015 12:19:02
94DE80F8F96A                         True 13/10/2015 12:19:02
94DE80FB56B0                         True 13/10/2015 12:19:02
94DE80FB5B04                         True 13/10/2015 12:19:02
94DE80FB5F6E                         True 13/10/2015 12:19:03
94DE80FC885A                         True 13/10/2015 12:19:03
94DE80FB5C29                         True 13/10/2015 12:19:03
94DE80FB5344                         True 13/10/2015 12:19:03
94DE80FB4F87                         True 13/10/2015 12:19:03
94DE80FB5AFA                         True 13/10/2015 12:19:04
94DE80FC7ED9                         True 13/10/2015 12:19:04
94DE80FC8FDF                         True 13/10/2015 12:19:04
94DE80FB5DAB                         True 13/10/2015 12:19:05
94DE80FB5C91                         True 13/10/2015 12:19:05
94DE80FB51E2                         True 13/10/2015 12:19:05
94DE80FB5D2F                         True 13/10/2015 12:19:05
94DE80FB5E01                         True 13/10/2015 12:19:05
94DE80FB56FB                         True 13/10/2015 12:19:06
94DE80FB5993                         True 13/10/2015 12:19:06
94DE80FC8FE0                         True 13/10/2015 12:19:06
94DE80FB5DB2                         True 13/10/2015 12:19:06
94DE80FB5BED                         True 13/10/2015 12:19:07
94DE80FB5E68                         True 13/10/2015 12:19:07
94DE80FB60BB                         True 13/10/2015 12:19:08
94DE80FB5E6F                         True 13/10/2015 12:19:08
94DE80FB5C7F                         True 13/10/2015 12:19:08
94DE80FB5C8D                         True 13/10/2015 12:19:08
94DE80FB5E98                         True 13/10/2015 12:19:09
94DE80FB5971                         True 13/10/2015 12:19:09
94DE80FB5ED9                         True 13/10/2015 12:19:09
94DE80FB5C7A                         True 13/10/2015 12:19:09
94DE80FC8FDC                         True 13/10/2015 12:19:10
94DE80FC8FFB                         True 13/10/2015 12:19:10
94DE80FB5BD3                         True 13/10/2015 12:19:11
94DE80FB5BEF                         True 13/10/2015 12:19:11
94DE80FB5E80                         True 13/10/2015 12:19:11
94DE80FB5ECF                         True 13/10/2015 12:19:12
94DE80FB5873                         True 13/10/2015 12:19:12
94DE80FB5C31                         True 13/10/2015 12:19:12
94DE80FB58D6                         True 13/10/2015 12:19:13
94DE80FB525E                         True 13/10/2015 12:19:13
94DE80FB5DCA                         True 13/10/2015 12:19:13
94DE80FB56C6                         True 13/10/2015 12:19:14
94DE80FB5C8F                         True 13/10/2015 12:19:14
94DE80FB5262                         True 13/10/2015 12:19:15
94DE80FC84A7                         True 13/10/2015 12:19:15
94DE80FC884E                         True 13/10/2015 12:19:16
94DE80FB5E40                         True 13/10/2015 12:19:16
94DE80FB5BDD                         True 13/10/2015 12:19:16
94DE80FC7E5A                         True 13/10/2015 12:19:17
94DE80FC8FF9                         True 13/10/2015 12:19:17
94DE80FB56AB                         True 13/10/2015 12:19:17
94DE80FC8B60                         True 13/10/2015 12:19:18
94DE80F9E58B                         True 13/10/2015 12:19:18
94DE80FB5D6B                         True 13/10/2015 12:19:18
94DE80FB5D86                         True 13/10/2015 12:19:18
94DE80FC9006                         True 13/10/2015 12:19:19
94DE80FB5E52                         True 13/10/2015 12:19:19
94DE80FB5F82                         True 13/10/2015 12:19:19
94DE80FB5AF6                         True 13/10/2015 12:19:20
94DE80FB5F6F                         True 13/10/2015 12:19:20
94DE80FB5B22                         True 13/10/2015 12:19:20
94DE80FB5DB0                         True 13/10/2015 12:19:21
94DE80FB5AF0                         True 13/10/2015 12:19:21
94DE80FB5AA2                         True 13/10/2015 12:19:22
94DE80FC8858                         True 13/10/2015 12:19:22
94DE80FB5D89                         True 13/10/2015 12:19:22
94DE80FB5C96                         True 13/10/2015 12:19:22
94DE80FB588A                         True 13/10/2015 12:19:23
94DE80FB59C5                         True 13/10/2015 12:19:23
94DE80FB5F60                         True 13/10/2015 12:19:24
94DE80FB59C9                         True 13/10/2015 12:19:24
94DE80FB5B30                         True 13/10/2015 12:19:24
94DE80FB5E34                         True 13/10/2015 12:19:24
94DE80FC84D9                         True 13/10/2015 12:19:25
94DE80FB4DBC                         True 13/10/2015 12:19:25
94DE80FB5E74                         True 13/10/2015 12:18:36
94DE80FB5AFD                         True 13/10/2015 12:18:36
94DE80FC7E60                         True 13/10/2015 12:18:36
94DE80FC8B38                         True 13/10/2015 12:18:36
94DE80FC84DA                         True 13/10/2015 12:18:37
94DE80FC84D7                         True 13/10/2015 12:18:37
94DE80FB5AF5                         True 13/10/2015 12:18:37
94de80fc8fdd                         True 13/10/2015 12:18:38
94DE80FB5B39                         True 13/10/2015 12:18:51
94DE80FC8859                         True 13/10/2015 12:18:52
94DE80FB5E3C                         True 13/10/2015 12:18:52
94DE80FB5DBE                         True 13/10/2015 12:18:52
94DE80FC8B37                         True 13/10/2015 12:18:52
94DE80FC8B39                         True 13/10/2015 12:18:52
94DE80FB591C                         True 13/10/2015 12:18:53
94DE80FB56A5                         True 13/10/2015 12:18:53
94DE80FB5E5D                         True 13/10/2015 12:18:53
94DE80FB5D69                         True 13/10/2015 12:18:53
94DE80FB5D82                         True 13/10/2015 12:18:53
94DE80FC88FC                         True 13/10/2015 12:18:53
94DE80FB59B9                         True 13/10/2015 12:18:54
94DE80FB59C8                         True 13/10/2015 12:18:54
94DE80FC88F6                         True 13/10/2015 12:18:54
94DE80FB59CC                         True 13/10/2015 12:18:54
94DE80FC84D8                         True 13/10/2015 12:18:55
94DE80FB5C75                         True 13/10/2015 12:18:55
94DE80FC8861                         True 13/10/2015 12:18:55
94DE80FC8B47                         True 13/10/2015 12:18:55
94DE80FB5672                         True 13/10/2015 12:18:55
94DE80FB5EA3                         True 13/10/2015 12:18:56
94DE80FC8498                         True 13/10/2015 12:18:56
94DE80FB59CA                         True 13/10/2015 12:18:56
94DE80FB59E1                         True 13/10/2015 12:18:56
94DE80FB5A7A                         True 13/10/2015 12:18:57
94DE80F8F969                         True 13/10/2015 12:18:57
94de80fb56fe                         True 13/10/2015 12:19:07
94de80fb59cd                         True 13/10/2015 12:19:08
cla-guest                            True 06/02/2019 11:16:53
94de80fc890e                         True 13/10/2015 12:18:36
7cc3a1accfd6                         True 13/10/2015 12:18:58
7cc3a1a91526                         True 13/10/2015 12:18:59
001AFD04E1FB                         True 14/11/2014 13:26:46
RJW                                  True 05/01/2015 13:51:48
french1                              True 25/05/2018 14:02:28
German1                              True 19/05/2016 08:18:19
CPD                                  True 07/01/2015 15:48:19
12tenchl                             True 22/03/2017 09:39:43
SophosSAUCLA-DC10                    True 20/01/2015 10:49:07
SophosSAUCLA-DC20                    True 20/01/2015 11:32:55
0021855AC6D8                         True 13/10/2015 12:19:19
voicm                                True 10/02/2015 15:22:21
macprint                             True 27/02/2015 10:12:41
serviceprinters1                     True 04/03/2015 09:59:31
Safe.Guarding                        True 20/03/2015 10:42:18
e0cb4e3a1333                         True 13/10/2015 12:18:44
6431500188B4                         True 13/10/2015 12:18:44
Clarence                             True 03/08/2015 08:53:02
10balamb                             True 11/09/2015 09:50:09
10perchl                             True 18/09/2015 12:16:27
D05349BC894F                         True 13/10/2015 12:19:24
64006a00eb9c                         True 13/10/2015 12:18:38
64006A002B27                         True 13/10/2015 12:18:43
104A7D7EC584                         True 13/10/2015 12:18:43
104A7D7F8DE8                         True 13/10/2015 12:18:43
104A7D8D392A                         True 13/10/2015 12:18:43
104A7D7F8E06                         True 13/10/2015 12:18:43
104A7D80128B                         True 13/10/2015 12:18:43
104A7D8D3902                         True 13/10/2015 12:18:44
104A7D7F5274                         True 13/10/2015 12:18:44
64006A00E70E                         True 13/10/2015 12:18:44
64006A002D3B                         True 13/10/2015 12:18:44
64006A021B68                         True 13/10/2015 12:18:44
64006A00EC8C                         True 13/10/2015 12:18:44
64006A0216CA                         True 13/10/2015 12:18:45
64006A002B0F                         True 13/10/2015 12:18:45
64006A00E73F                         True 13/10/2015 12:18:45
64006A00E6F1                         True 13/10/2015 12:18:45
64006A00E6D2                         True 13/10/2015 12:18:45
64006A00ED6C                         True 13/10/2015 12:18:45
64006A00E61C                         True 13/10/2015 12:18:45
64006A00EBA6                         True 13/10/2015 12:18:45
64006A00EC1F                         True 13/10/2015 12:18:46
64006A00EB9E                         True 13/10/2015 12:18:46
64006A00E61E                         True 13/10/2015 12:18:46
64006A00EC5D                         True 13/10/2015 12:18:46
64006A00E609                         True 13/10/2015 12:18:46
64006A00E65E                         True 13/10/2015 12:18:46
64006A002B97                         True 13/10/2015 12:18:46
64006A00E75D                         True 13/10/2015 12:18:47
64006A002BC7                         True 13/10/2015 12:18:47
64006A00EC19                         True 13/10/2015 12:18:47
64006A00ED44                         True 13/10/2015 12:18:47
64006A00ED6E                         True 13/10/2015 12:18:47
64006A00E7EE                         True 13/10/2015 12:18:47
64006A00E6F4                         True 13/10/2015 12:18:47
64006A00E65F                         True 13/10/2015 12:18:48
64006A00E734                         True 13/10/2015 12:18:48
64006A021A16                         True 13/10/2015 12:18:48
64006A00E73A                         True 13/10/2015 12:18:48
64006A0216C9                         True 13/10/2015 12:18:48
64006A00EC28                         True 13/10/2015 12:18:48
64006A0216E5                         True 13/10/2015 12:18:48
64006A00EBA3                         True 13/10/2015 12:18:48
64006A00EA9E                         True 13/10/2015 12:18:49
64006A02179C                         True 13/10/2015 12:18:49
64006A0216DC                         True 13/10/2015 12:18:49
64006A002B99                         True 13/10/2015 12:18:49
64006A002BCD                         True 13/10/2015 12:18:49
64006A0216C6                         True 13/10/2015 12:18:49
64006A02173A                         True 13/10/2015 12:18:50
64006A00E756                         True 13/10/2015 12:18:50
64006A00E7BC                         True 13/10/2015 12:18:50
64006A00E8C8                         True 13/10/2015 12:18:50
64006A00EB97                         True 13/10/2015 12:18:50
64006A00E60B                         True 13/10/2015 12:18:50
64006A00ED4A                         True 13/10/2015 12:18:50
64006A021A03                         True 13/10/2015 12:18:50
64006A00E736                         True 13/10/2015 12:18:51
64006A021B64                         True 13/10/2015 12:18:51
64006A00E6DB                         True 13/10/2015 12:18:51
64006A00B2A2                         True 13/10/2015 12:18:51
64006A00E689                         True 13/10/2015 12:18:51
B083FEAD2AFB                         True 13/10/2015 12:18:51
B083FEAD2E39                         True 13/10/2015 12:18:52
B083FEAD2C8B                         True 13/10/2015 12:18:52
B083FEAD2E62                         True 13/10/2015 12:18:52
B083FEAD2E6F                         True 13/10/2015 12:18:52
B083FEAD2E7A                         True 13/10/2015 12:18:52
B083FEAD2B09                         True 13/10/2015 12:18:52
B083FEAD2E32                         True 13/10/2015 12:18:53
B083FEAD2BAB                         True 13/10/2015 12:18:53
B083FEAD2F96                         True 13/10/2015 12:18:53
B083FEAD2C63                         True 13/10/2015 12:18:53
B083FEAD2B7A                         True 13/10/2015 12:18:53
B083FEAD2C37                         True 13/10/2015 12:18:54
B083FEAD2F87                         True 13/10/2015 12:18:54
B083FEAD2D8F                         True 13/10/2015 12:18:54
B083FEAD2C64                         True 13/10/2015 12:18:54
B083FEAD2E95                         True 13/10/2015 12:18:54
B083FEAD2FDA                         True 13/10/2015 12:18:54
B083FEAD2F2D                         True 13/10/2015 12:18:55
B083FEAD2E2D                         True 13/10/2015 12:18:55
B083FEAD2EDD                         True 13/10/2015 12:18:55
B083FEAD2EA5                         True 13/10/2015 12:18:55
B083FEAD2C9E                         True 13/10/2015 12:18:55
B083FEAD2B68                         True 20/11/2017 08:47:31
B083FEAD2CA3                         True 13/10/2015 12:18:56
B083FEAD2C9B                         True 13/10/2015 12:18:56
B083FEAD3005                         True 13/10/2015 12:18:56
B083FEAD2C4E                         True 13/10/2015 12:18:57
B083FEAD2DE7                         True 13/10/2015 12:18:57
B083FEAD3000                         True 13/10/2015 12:18:57
B083FEAD2EA1                         True 13/10/2015 12:18:57
B083FEAD2D04                         True 13/10/2015 12:18:57
B083FEAD2EB2                         True 13/10/2015 12:18:57
B083FEAD3001                         True 13/10/2015 12:18:58
B083FEAD2E47                         True 13/10/2015 12:18:58
B083FEAD2C40                         True 13/10/2015 12:18:58
B083FEAD2F2E                         True 13/10/2015 12:18:58
B083FEAD2FE0                         True 13/10/2015 12:18:58
B083FEAD2C1D                         True 13/10/2015 12:18:58
B083FEAD2F7B                         True 13/10/2015 12:18:58
B083FEAD2C93                         True 13/10/2015 12:18:59
B083FEAD2F72                         True 13/10/2015 12:18:59
B083FEAD2ED0                         True 13/10/2015 12:18:59
B083FEAD2BE7                         True 13/10/2015 12:18:59
B083FEAD2D05                         True 13/10/2015 12:18:59
B083FEAD2FA2                         True 13/10/2015 12:18:59
B083FEAD2EC3                         True 13/10/2015 12:19:00
B083FEAD2C23                         True 13/10/2015 12:19:00
B083FEAD2BFF                         True 13/10/2015 12:19:00
B083FEAD2B79                         True 13/10/2015 12:19:00
B083FEAD2EF9                         True 13/10/2015 12:19:00
B083FEAD2EC6                         True 13/10/2015 12:19:01
B083FEAD2F7E                         True 13/10/2015 12:19:01
B083FEAD2CC1                         True 13/10/2015 12:19:01
B083FEAD2F7C                         True 13/10/2015 12:19:01
B083FEAD2B98                         True 13/10/2015 12:19:01
B083FEAD2E7B                         True 13/10/2015 12:19:01
B083FEAD2E87                         True 13/10/2015 12:19:01
B083FEAD2C7E                         True 13/10/2015 12:19:02
B083FEAD2BFD                         True 13/10/2015 12:19:02
B083FEAD2FB8                         True 13/10/2015 12:19:02
B083FEAD2EE6                         True 13/10/2015 12:19:02
B083FEAD2B81                         True 13/10/2015 12:19:02
B083FEAD2E5E                         True 13/10/2015 12:19:03
B083FEAD2C68                         True 13/10/2015 12:19:03
B083FEAD2C3F                         True 13/10/2015 12:19:03
B083FEAD2BD5                         True 13/10/2015 12:19:03
B083FEAA706A                         True 13/10/2015 12:19:03
B083FEAD2FB7                         True 13/10/2015 12:19:04
B083FEAD2E4F                         True 13/10/2015 12:19:04
B083FEAD2BC8                         True 13/10/2015 12:19:04
B083FEAD2EE8                         True 13/10/2015 12:19:05
B083FEAD2BD0                         True 13/10/2015 12:19:05
B083FEAD2F05                         True 13/10/2015 12:19:05
B083FEAD2F8F                         True 13/10/2015 12:19:05
B083FEAD228F                         True 13/10/2015 12:19:05
B083FEAD2C71                         True 13/10/2015 12:19:06
B083FEAD2B2E                         True 13/10/2015 12:19:06
B083FEAD2F1B                         True 13/10/2015 12:19:06
B083FEAD228D                         True 13/10/2015 12:19:06
B083FEAD2FD2                         True 13/10/2015 12:19:07
B083FEAD2F4E                         True 13/10/2015 12:19:07
B083FEAD2E56                         True 13/10/2015 12:19:07
B083FEAD2EC5                         True 13/10/2015 12:19:07
B083FEAD2FEB                         True 13/10/2015 12:19:07
B083FEAD2C86                         True 13/10/2015 12:19:08
B083FEAD2BAF                         True 13/10/2015 12:19:08
B083FEAD2B62                         True 13/10/2015 12:19:08
B083FEAD2F74                         True 13/10/2015 12:19:08
B083FEAD2F4C                         True 13/10/2015 12:19:09
B083FEAD2E88                         True 13/10/2015 12:19:09
B083FEAD2C2E                         True 13/10/2015 12:19:09
64006A021B67                         True 13/10/2015 12:19:09
64006A00E7BD                         True 13/10/2015 12:19:10
64006A00E758                         True 13/10/2015 12:19:10
64006A00E75C                         True 13/10/2015 12:19:10
64006A00E70F                         True 13/10/2015 12:19:10
64006A00E64E                         True 13/10/2015 12:19:11
64006A00E60E                         True 13/10/2015 12:19:11
64006A00E6DE                         True 13/10/2015 12:19:11
64006A00E607                         True 13/10/2015 12:19:11
64006A002BA9                         True 13/10/2015 12:19:12
64006A00E733                         True 13/10/2015 12:19:12
64006A00E76C                         True 13/10/2015 12:19:12
64006A00E6E7                         True 13/10/2015 12:19:12
64006A0218E8                         True 13/10/2015 12:19:13
64006A00E69E                         True 13/10/2015 12:19:13
64006A00EB30                         True 13/10/2015 12:19:13
64006A00E739                         True 13/10/2015 12:19:14
64006A00EB71                         True 13/10/2015 12:19:14
64006A00EBA4                         True 13/10/2015 12:19:14
64006A021602                         True 13/10/2015 12:19:15
104A7D8D1125                         True 13/10/2015 12:19:15
104A7D805403                         True 13/10/2015 12:19:15
104A7D8D5E23                         True 13/10/2015 12:19:16
104A7D7F530F                         True 13/10/2015 12:19:16
